id_resposta,formulario,timestamp,consentimento,tempo_experiencia,grupo_experiencia,familiaridade_gherkin,perfil_atuacao,bloco_no_formulario,historia,conjunto_anonimizado,historia_conjunto,modelo_fonte_controle_interno,clareza,completude,objetividade,separacao_cenarios,aderencia_historia_criterios,fidelidade_artefatos_entrada,comentario_bloco,comentario_geral_formulario
P01,F1_H04A_H05A_H06B_H07B,2026/06/25 10:07:57 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Média,QA funcional/manual,Bloco 1,H04,A,H04_A,Gemini 3.1 Pro,4,3,4,5,5,5,,
P01,F1_H04A_H05A_H06B_H07B,2026/06/25 10:07:57 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Média,QA funcional/manual,Bloco 2,H05,A,H05_A,GPT-5.5,3,4,1,2,3,5,,
P01,F1_H04A_H05A_H06B_H07B,2026/06/25 10:07:57 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Média,QA funcional/manual,Bloco 3,H06,B,H06_B,GPT-5.5,5,5,4,5,5,5,,
P01,F1_H04A_H05A_H06B_H07B,2026/06/25 10:07:57 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Média,QA funcional/manual,Bloco 4,H07,B,H07_B,Gemini 3.1 Pro,3,3,5,4,4,5,,
P02,F1_H04A_H05A_H06B_H07B,2026/06/27 6:29:57 PM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 1,H04,A,H04_A,Gemini 3.1 Pro,5,5,5,5,5,5,,"Necessário expandir mais alguns cenários, alguns ficaram vagos, muito objetivo mas sem detalhes e"
P02,F1_H04A_H05A_H06B_H07B,2026/06/27 6:29:57 PM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 2,H05,A,H05_A,GPT-5.5,3,2,5,5,5,5,,"Necessário expandir mais alguns cenários, alguns ficaram vagos, muito objetivo mas sem detalhes e"
P02,F1_H04A_H05A_H06B_H07B,2026/06/27 6:29:57 PM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 3,H06,B,H06_B,GPT-5.5,5,5,5,5,5,5,,"Necessário expandir mais alguns cenários, alguns ficaram vagos, muito objetivo mas sem detalhes e"
P02,F1_H04A_H05A_H06B_H07B,2026/06/27 6:29:57 PM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 4,H07,B,H07_B,Gemini 3.1 Pro,5,2,2,4,5,3,,"Necessário expandir mais alguns cenários, alguns ficaram vagos, muito objetivo mas sem detalhes e"
P03,F2_H06A_H07A_H04B_H05B,2026/06/26 7:58:40 AM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 1,H06,A,H06_A,Gemini 3.1 Pro,3,3,4,5,5,5,,
P03,F2_H06A_H07A_H04B_H05B,2026/06/26 7:58:40 AM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 2,H07,A,H07_A,GPT-5.5,5,5,5,5,5,5,,
P03,F2_H06A_H07A_H04B_H05B,2026/06/26 7:58:40 AM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 3,H04,B,H04_B,GPT-5.5,5,5,5,5,5,5,,
P03,F2_H06A_H07A_H04B_H05B,2026/06/26 7:58:40 AM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 4,H05,B,H05_B,Gemini 3.1 Pro,5,5,5,5,5,5,,
P04,F2_H06A_H07A_H04B_H05B,2026/06/28 3:01:04 AM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 1,H06,A,H06_A,Gemini 3.1 Pro,4,5,5,4,4,5,,"Gostei dos cenários abordados abordando tipos de produtos diferentes. Sempre bom para nos tirar da rotina de trabalhar com somente um tipo de produto. Gostei da forma que foram construídos, com uma breve ressalva para o ultimo, onde acredito que era possível separar o primeiro cenário de testes em mais cenários."
P04,F2_H06A_H07A_H04B_H05B,2026/06/28 3:01:04 AM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 2,H07,A,H07_A,GPT-5.5,5,5,4,5,5,5,,"Gostei dos cenários abordados abordando tipos de produtos diferentes. Sempre bom para nos tirar da rotina de trabalhar com somente um tipo de produto. Gostei da forma que foram construídos, com uma breve ressalva para o ultimo, onde acredito que era possível separar o primeiro cenário de testes em mais cenários."
P04,F2_H06A_H07A_H04B_H05B,2026/06/28 3:01:04 AM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 3,H04,B,H04_B,GPT-5.5,5,5,5,5,5,5,,"Gostei dos cenários abordados abordando tipos de produtos diferentes. Sempre bom para nos tirar da rotina de trabalhar com somente um tipo de produto. Gostei da forma que foram construídos, com uma breve ressalva para o ultimo, onde acredito que era possível separar o primeiro cenário de testes em mais cenários."
P04,F2_H06A_H07A_H04B_H05B,2026/06/28 3:01:04 AM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA funcional/manual,Bloco 4,H05,B,H05_B,Gemini 3.1 Pro,4,5,5,5,5,5,,"Gostei dos cenários abordados abordando tipos de produtos diferentes. Sempre bom para nos tirar da rotina de trabalhar com somente um tipo de produto. Gostei da forma que foram construídos, com uma breve ressalva para o ultimo, onde acredito que era possível separar o primeiro cenário de testes em mais cenários."
P05,F3_H04A_H06A_H05B_H07B,2026/06/28 12:38:58 AM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA automação,Bloco 1,H04,A,H04_A,Gemini 3.1 Pro,5,5,5,5,5,5,,"A história (H07), e o do semáforo (H05) tem descrições de histórias de usuário ""incompletas"", por exemplo, a analogia do semáforo é usada para descrever disponibilidade de produtos, mas não fica claro que cor representa o que, ou aspectos de acessibilidade. Já nessa história H07, para mim, ""visualização mobile"" me remete muito mais a UI, layout e nenhum desses aspectos fica claro na descrição da história. Logo, quando apliquei os conceitos de clareza, objetividade, aderência e etc, todos atendiam bem ao que foi descrito. No entanto,  se considerar a expertise do testador e dúvidas que viriam com essas histórias, o resultado para cada critério poderia ser diferente. Em resumo, para LLMs a entrada é crucial para um bom resultado, quanto melhor descrita e refinada a história, melhor será a saída."
P05,F3_H04A_H06A_H05B_H07B,2026/06/28 12:38:58 AM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA automação,Bloco 2,H06,A,H06_A,Gemini 3.1 Pro,3,3,4,5,5,5,,"A história (H07), e o do semáforo (H05) tem descrições de histórias de usuário ""incompletas"", por exemplo, a analogia do semáforo é usada para descrever disponibilidade de produtos, mas não fica claro que cor representa o que, ou aspectos de acessibilidade. Já nessa história H07, para mim, ""visualização mobile"" me remete muito mais a UI, layout e nenhum desses aspectos fica claro na descrição da história. Logo, quando apliquei os conceitos de clareza, objetividade, aderência e etc, todos atendiam bem ao que foi descrito. No entanto,  se considerar a expertise do testador e dúvidas que viriam com essas histórias, o resultado para cada critério poderia ser diferente. Em resumo, para LLMs a entrada é crucial para um bom resultado, quanto melhor descrita e refinada a história, melhor será a saída."
P05,F3_H04A_H06A_H05B_H07B,2026/06/28 12:38:58 AM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA automação,Bloco 3,H05,B,H05_B,Gemini 3.1 Pro,5,5,5,2,5,5,,"A história (H07), e o do semáforo (H05) tem descrições de histórias de usuário ""incompletas"", por exemplo, a analogia do semáforo é usada para descrever disponibilidade de produtos, mas não fica claro que cor representa o que, ou aspectos de acessibilidade. Já nessa história H07, para mim, ""visualização mobile"" me remete muito mais a UI, layout e nenhum desses aspectos fica claro na descrição da história. Logo, quando apliquei os conceitos de clareza, objetividade, aderência e etc, todos atendiam bem ao que foi descrito. No entanto,  se considerar a expertise do testador e dúvidas que viriam com essas histórias, o resultado para cada critério poderia ser diferente. Em resumo, para LLMs a entrada é crucial para um bom resultado, quanto melhor descrita e refinada a história, melhor será a saída."
P05,F3_H04A_H06A_H05B_H07B,2026/06/28 12:38:58 AM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Alta,QA automação,Bloco 4,H07,B,H07_B,Gemini 3.1 Pro,5,4,5,5,5,5,,"A história (H07), e o do semáforo (H05) tem descrições de histórias de usuário ""incompletas"", por exemplo, a analogia do semáforo é usada para descrever disponibilidade de produtos, mas não fica claro que cor representa o que, ou aspectos de acessibilidade. Já nessa história H07, para mim, ""visualização mobile"" me remete muito mais a UI, layout e nenhum desses aspectos fica claro na descrição da história. Logo, quando apliquei os conceitos de clareza, objetividade, aderência e etc, todos atendiam bem ao que foi descrito. No entanto,  se considerar a expertise do testador e dúvidas que viriam com essas histórias, o resultado para cada critério poderia ser diferente. Em resumo, para LLMs a entrada é crucial para um bom resultado, quanto melhor descrita e refinada a história, melhor será a saída."
P06,F3_H04A_H06A_H05B_H07B,2026/06/29 11:53:48 AM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 1,H04,A,H04_A,Gemini 3.1 Pro,4,3,4,5,5,5,"Para que eu pudesse dar nota 5 em todos os quesitos, senti que os cenários precisariam ser mais orientados a exemplos concretos e focar em resultados que a gente consegue realmente observar e validar. Por exemplo, em vez de colocar ""Then o sistema processa a busca tolerando as variações"", acredito que um cenário BDD ideal deveria descrever algo prático como: ""Then o livro correspondente ao ISBN é retornado com sucesso na grade de resultados da busca"".",
P06,F3_H04A_H06A_H05B_H07B,2026/06/29 11:53:48 AM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 2,H06,A,H06_A,Gemini 3.1 Pro,4,3,2,4,5,5,"Os critérios de aceitação estão dentro da estrutura ""Given-When-Then"", porém, faltaram cenários que aplicassem testes direcionados a regra em sí.",
P06,F3_H04A_H06A_H05B_H07B,2026/06/29 11:53:48 AM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 3,H05,B,H05_B,Gemini 3.1 Pro,4,3,2,3,5,5,,
P06,F3_H04A_H06A_H05B_H07B,2026/06/29 11:53:48 AM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Alta,QA automação,Bloco 4,H07,B,H07_B,Gemini 3.1 Pro,3,1,4,4,5,5,"Achei os cenários desse bloco muito superficiais, por isso a nota tão baixa em completude.",
P07,F4_H05A_H07A_H04B_H06B,2026/06/26 7:46:17 PM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Média,QA funcional/manual,Bloco 1,H05,A,H05_A,GPT-5.5,2,1,2,2,2,2,,
P07,F4_H05A_H07A_H04B_H06B,2026/06/26 7:46:17 PM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Média,QA funcional/manual,Bloco 2,H07,A,H07_A,GPT-5.5,4,3,4,3,4,4,,
P07,F4_H05A_H07A_H04B_H06B,2026/06/26 7:46:17 PM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Média,QA funcional/manual,Bloco 3,H04,B,H04_B,GPT-5.5,2,3,2,3,3,4,,
P07,F4_H05A_H07A_H04B_H06B,2026/06/26 7:46:17 PM GMT-3,"Sim, concordo em participar.",1 a 2 anos,Junior,Média,QA funcional/manual,Bloco 4,H06,B,H06_B,GPT-5.5,1,2,4,2,2,3,,
P08,F4_H05A_H07A_H04B_H06B,2026/06/28 6:07:48 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Média,Analista de testes,Bloco 1,H05,A,H05_A,GPT-5.5,5,4,3,4,5,5,,
P08,F4_H05A_H07A_H04B_H06B,2026/06/28 6:07:48 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Média,Analista de testes,Bloco 2,H07,A,H07_A,GPT-5.5,3,2,4,4,2,4,,
P08,F4_H05A_H07A_H04B_H06B,2026/06/28 6:07:48 PM GMT-3,"Sim, concordo em participar.",Mais de 2 anos,Senior,Média,Analista de testes,Bloco 3,H04,B,H04_B,GPT-5.5,4,2,4,4,2,4,,
