id,project,functionality,user_story,acceptance_criteria
157,B,Administration/Management,"As a user, I would like to delete my account.","* ""Delete account"" button available in the settings 
* Security prompt indicating that the deletion process cannot be undone 
* Data protection notice on the further use of personal data 
* Confirmation of the deletion 
* All user data (user data, orders, watch lists, addresses, etc.) is deleted from the store 
* Store generates email notification to configurable email address"
937,A,Authentication/Account,"As an anonymous user, I would like to be able to register or log in to the site in order to access my customer data.","* as an anonymous user, after clicking on Checkout, the page with login and registration options appears
* Click on Let's go to enter the address of the checkout
* After successful registration, a completed address mask appears with all previous customer data
* Email (correct) instead of email (patternlab)
* E-mail text box intercepts incorrect entries via an e-mail validator
* Error messages are displayed in such a way that they are up to date in terms of security, e.g. only ""Registration not correct"" instead of displaying which field is exactly incorrect
* When clicking on Register, the previous address mask + password entry and repetition are displayed
* After entering the data, the data is saved in the database and a login is possible with the data
* After entering the data, the customer receives an e-mail in which he must confirm that he is the correct recipient
* The customer is informed that he can only continue with the registered data after confirming the e-mail
* The registration is retained for 7 days
* Standard texts are included for this communication
* After confirming the e-mail, the customer is taken to the login area in the WK and must log in, after which he continues as a logged-in user"
229,B,B2B/eProcurement,"As a logged in user, I would like to send a price enquiry for titles without a price.","* ""Request price"" button for titles without price for logged-in users 
* Form as overlay 
* Consider responsiveness! 
* Pre-filled form text 
* Send mail with all necessary information to configured recipient 
* Always hide shopping cart button 
* A message is displayed for users who are not logged in (possibly with a link to registration) 
* Feedback to the user"
932,A,Search/Navigation,"As a  user, I would like to be able to search for titles using ISBN lists so that I don't have to enter these titles manually in the search.","* The ISBN list can be inserted by copy and paste. 
* The field can be cleared using the ""Reset"" button. 
* The ISBN search is spelling-tolerant - ISBNs can be separated by hyphens. 
* A list of ISBNs that were not found in the database during the search is displayed"
797,B,Shopping Cart,"As a user, I would like to see in the shopping basket which elements make up the total amount shown.","* The total is displayed in a box in the shopping basket
* The net total is displayed
* The various VAT components are listed separately
* The gross total is displayed
* If the shopping basket is changed, the prices are updated"
762,B,Product Catalog,"As a user, I would like to be able to see the availability per item to know if or when an item is available.","* one of 3 traffic light colours for availability is displayed below the price information
* The availability is displayed as text to the right of the traffic light colour.
* Additional information, such as availability date, is displayed in a second line, possibly with a break"
167,B,Address/Delivery,"As a user, I would like to select my delivery details in the mobile view.","* Address maintenance and selection
* Shipping method selection
* Further navigation"
175,B,Payment,"As a user, I would like to have ""Payment in shop"" displayed as the payment method for ""Pick up in shop"".","* Delivery selection ""Pick up in shop"" causes the only payment method: ""Payment in shop"""
809,B,Order/Purchase,"As a user, I would like to see detailed information when I click on a conference I have found in order to find out more.","* Detail page with
+ cover, category
+ Media if maintained + Print page next to it
+ Details: address, time (period)
+ contact persons are left out
+ Conference organiser
+ Other date options will be left out for now
+ Description
+ Programme
+ Price panel: Show normal price & reduced price if applicable
+ Availability: ""Grey - availability unknown""
+ Seat reservation as specified above
"
736,B,Wishlist/Favorites,"As a logged in user, I would like to share a wishlist by generating a link.","* Click on ""Copy link"" to generate a link 
* The generated link is copied to the clipboard 
* A toast message with ""Link copied to clipboard"" appears"
